account_id,district_id,Account_type,New_Date,New_Frequency,Card_Assigned
1573,63,Savings account,2020-12-29,Monthly Issuance,Silver
3276,1,Salary account,2020-12-29,Monthly Issuance,Silver
124,55,Salary account,2020-12-28,Monthly Issuance,Silver
3958,59,NRI account,2020-12-28,Monthly Issuance,Silver
777,30,Savings account,2020-12-28,Monthly Issuance,Silver
3025,25,Salary account,2020-12-27,Monthly Issuance,Silver
906,59,NRI account,2020-12-27,Monthly Issuance,Silver
845,14,Savings account,2020-12-27,Monthly Issuance,Silver
3048,74,Salary account,2020-12-26,Weekly Issuance,Diamond
1983,54,NRI account,2020-12-25,Monthly Issuance,Silver
727,35,NRI account,2020-12-25,Monthly Issuance,Silver
4332,74,NRI account,2020-12-23,Monthly Issuance,Silver
564,5,NRI account,2020-12-23,Monthly Issuance,Silver
3934,6,NRI account,2020-12-23,Monthly Issuance,Silver
1318,56,Salary account,2020-12-22,Monthly Issuance,Silver
889,43,NRI account,2020-12-22,Monthly Issuance,Silver
3385,1,Salary account,2020-12-21,Monthly Issuance,Silver
703,54,Savings account,2020-12-21,Monthly Issuance,Silver
1177,27,Salary account,2020-12-20,Monthly Issuance,Silver
246,65,Salary account,2020-12-20,Monthly Issuance,Silver
1171,18,NRI account,2020-12-20,Monthly Issuance,Silver
3187,59,Salary account,2020-12-20,Monthly Issuance,Silver
2791,25,Savings account,2020-12-19,Monthly Issuance,Silver
3169,19,Savings account,2020-12-19,Monthly Issuance,Silver
2049,67,Savings account,2020-12-19,Monthly Issuance,Silver
758,51,Salary account,2020-12-19,Monthly Issuance,Silver
2440,19,NRI account,2020-12-18,Monthly Issuance,Silver
1186,64,NRI account,2020-12-17,Monthly Issuance,Silver
3911,32,Salary account,2020-12-16,Monthly Issuance,Silver
3992,43,Savings account,2020-12-16,Monthly Issuance,Silver
579,1,NRI account,2020-12-16,Monthly Issuance,Silver
2892,64,Savings account,2020-12-16,Monthly Issuance,Silver
3616,50,NRI account,2020-12-15,Monthly Issuance,Silver
938,70,Savings account,2020-12-13,Monthly Issuance,Silver
3501,36,Salary account,2020-12-13,Monthly Issuance,Silver
2820,36,NRI account,2020-12-11,Monthly Issuance,Silver
3033,69,NRI account,2020-12-10,Monthly Issuance,Silver
3174,65,Savings account,2020-12-10,Monthly Issuance,Silver
134,34,Salary account,2020-12-10,Monthly Issuance,Silver
1229,46,Salary account,2020-12-10,Monthly Issuance,Silver
3209,45,Salary account,2020-12-10,Monthly Issuance,Silver
1072,65,NRI account,2020-12-09,Monthly Issuance,Silver
1156,59,Salary account,2020-12-09,Monthly Issuance,Silver
3836,68,Salary account,2020-12-09,Monthly Issuance,Silver
3013,73,NRI account,2020-12-09,Monthly Issuance,Silver
673,31,Savings account,2020-12-08,Monthly Issuance,Silver
3406,53,Salary account,2020-12-08,Monthly Issuance,Silver
2796,5,Salary account,2020-12-08,Weekly Issuance,Diamond
2775,30,Savings account,2020-12-08,Monthly Issuance,Silver
276,38,Savings account,2020-12-08,Monthly Issuance,Silver
315,45,NRI account,2020-12-08,Monthly Issuance,Silver
3722,76,Salary account,2020-12-07,Monthly Issuance,Silver
736,75,Salary account,2020-12-07,Monthly Issuance,Silver
2787,1,NRI account,2020-12-07,Monthly Issuance,Silver
